,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
36,Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,31,1988,20,20,1746,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.6,0.02,0.03,0.05,0.02,0.05,Matches
37,Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Chelsea,25,1993,12,0,118,1,1,0,0,0,0,0.76,0.76,1.53,0.76,1.53,1.6,1.6,0.2,1.25,0.12,1.38,1.25,1.38,Matches
38,Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,23,1996,20,20,1798,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.03,0.00,0.03,0.03,0.03,Matches
39,Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,24,1995,3,3,263,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.03,0.05,0.01,0.05,Matches
40,Ryan Bennett\Ryan-Bennett,eng ENG,DF,Wolves,29,1990,10,6,550,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
41,Christian Benteke\Christian-Benteke,be BEL,FW,Crystal Palace,28,1990,15,4,486,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,1.2,0.24,0.21,0.45,0.24,0.45,Matches
42,Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,is ISL,FWMF,Burnley,28,1990,6,4,356,1,0,0,0,0,0,0.25,0.00,0.25,0.25,0.25,0.4,0.4,0.4,0.11,0.11,0.22,0.11,0.22,Matches
43,Bernard\Bernard,br BRA,FWMF,Everton,26,1992,12,8,656,2,1,0,0,2,0,0.27,0.14,0.41,0.27,0.41,0.3,0.3,0.6,0.04,0.08,0.12,0.04,0.12,Matches
44,Bernardo\Bernardo,br BRA,DF,Brighton,24,1995,4,2,143,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.02,0.09,0.10,0.02,0.10,Matches
45,Ryan Bertrand\Ryan-Bertrand,eng ENG,DFMF,Southampton,29,1989,15,14,1213,1,1,0,0,3,1,0.07,0.07,0.15,0.07,0.15,1.6,1.6,1.5,0.12,0.11,0.22,0.12,0.22,Matches
46,Muhamed Bešić\Muhamed-Besic,ba BIH,DFMF,Sheffield Utd,26,1992,5,1,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.06,0.06,0.11,0.06,0.11,Matches
47,Philip Billing\Philip-Billing,dk DEN,MF,Bournemouth,23,1996,19,18,1505,0,1,0,0,7,0,0.00,0.06,0.06,0.00,0.06,0.8,0.8,0.5,0.05,0.03,0.08,0.05,0.08,Matches
48,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,22,1996,9,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
49,Willy Boly\Willy-Boly,fr FRA,DF,Wolves,28,1991,8,8,719,0,1,0,0,2,1,0.00,0.13,0.13,0.00,0.13,0.0,0.0,0.3,0.00,0.04,0.04,0.00,0.04,Matches
50,Gaëtan Bong\Gaetan-Bong,cm CMR,DF,Brighton,31,1988,4,0,56,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.21,0.21,0.00,0.21,Matches
51,Sofiane Boufal\Sofiane-Boufal,ma MAR,MF,Southampton,25,1993,14,5,561,0,2,0,0,2,0,0.00,0.32,0.32,0.00,0.32,0.8,0.8,2.2,0.13,0.35,0.48,0.13,0.48,Matches
52,Robbie Brady\Robbie-Brady,ie IRL,FWMF,Burnley,27,1992,12,4,351,1,2,0,0,1,0,0.26,0.51,0.77,0.26,0.77,0.9,0.9,0.2,0.24,0.05,0.29,0.24,0.29,Matches
53,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,36,1983,3,2,256,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
54,Emi Buendía\Emi-Buendia,ar ARG,FW,Norwich City,22,1996,20,17,1505,0,6,0,0,2,0,0.00,0.36,0.36,0.00,0.36,1.2,1.2,5.4,0.07,0.32,0.39,0.07,0.39,Matches
55,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,27,1992,20,20,1800,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.0,0.04,0.05,0.09,0.04,0.09,Matches
56,Sam Byram\Sam-Byram,eng ENG,DFMF,Norwich City,25,1993,11,9,816,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,0.11,0.02,0.13,0.11,0.13,Matches
57,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,33,1985,12,12,1080,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.05,0.00,0.05,0.05,0.05,Matches
58,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,MF,Everton,22,1997,18,13,1133,8,0,0,0,3,0,0.64,0.00,0.64,0.64,0.64,6.6,6.6,0.6,0.52,0.05,0.57,0.52,0.57,Matches
59,Víctor Camarasa\Victor-Camarasa,es ESP,MF,Crystal Palace,25,1994,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
60,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,25,1994,6,4,396,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.6,0.04,0.13,0.17,0.04,0.17,Matches
61,Todd Cantwell\Todd-Cantwell,eng ENG,,Norwich City,21,1998,20,16,1378,5,2,0,0,2,0,0.33,0.13,0.46,0.33,0.46,4.5,4.5,1.8,0.29,0.12,0.41,0.29,0.41,Matches
62,Étienne Capoue\Etienne-Capoue,fr FRA,MF,Watford,31,1988,15,15,1330,0,1,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.6,0.6,1.1,0.04,0.07,0.11,0.04,0.11,Matches
63,Andy Carroll\Andy-Carroll,eng ENG,FW,Newcastle Utd,30,1989,12,4,497,0,3,0,0,1,0,0.00,0.54,0.54,0.00,0.54,0.5,0.5,1.6,0.08,0.28,0.37,0.08,0.37,Matches
64,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,25,1994,19,18,1613,1,1,0,0,4,0,0.06,0.06,0.11,0.06,0.11,1.0,1.0,0.8,0.06,0.04,0.10,0.06,0.10,Matches
65,Craig Cathcart\Craig-Cathcart,nir NIR,DF,Watford,30,1989,18,18,1545,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.00,0.00,0.01,0.00,0.01,Matches
66,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,22,1996,11,7,664,0,2,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.3,0.3,0.7,0.05,0.09,0.13,0.05,0.13,Matches
67,Nathaniel Chalobah\Nathaniel-Chalobah,eng ENG,DFMF,Watford,24,1994,9,4,386,0,1,0,0,1,0,0.00,0.23,0.23,0.00,0.23,0.2,0.2,0.5,0.05,0.12,0.16,0.05,0.16,Matches
68,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,24,1995,14,13,1103,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.6,0.6,0.8,0.05,0.06,0.12,0.05,0.12,Matches
69,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Leicester City,22,1996,16,16,1430,1,3,0,0,1,0,0.06,0.19,0.25,0.06,0.25,0.4,0.4,2.5,0.03,0.16,0.19,0.03,0.19,Matches
70,Tahith Chong\Tahith-Chong,nl NED,,Manchester Utd,19,1999,2,0,24,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
71,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,11,5,446,0,1,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.3,0.3,0.1,0.05,0.01,0.06,0.05,0.06,Matches
72,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,8,8,672,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.03,0.06,0.08,0.03,0.08,Matches
