,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
42,Sven Bender\Sven-Bender,de GER,MF,Bayer,30,1989,17,17,1464,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.04,0.00,0.04,0.04,0.04,Matches
43,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,21,1997,13,10,818,0,4,0,0,3,0,0.00,0.44,0.44,0.00,0.44,1.0,1.0,2.3,0.11,0.25,0.36,0.11,0.36,Matches
44,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DFMF,M'gladbach,24,1995,8,7,636,3,0,1,1,3,1,0.42,0.00,0.42,0.28,0.28,1.8,1.1,0.3,0.26,0.04,0.30,0.15,0.19,Matches
45,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,19,2000,3,0,109,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,29,1990,11,7,617,2,0,0,0,0,0,0.29,0.00,0.29,0.29,0.29,0.4,0.4,0.4,0.05,0.05,0.10,0.05,0.10,Matches
47,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,25,1993,1,0,2,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,1.72,0.00,1.72,1.72,1.72,Matches
48,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Werder Bremen,25,1993,12,11,993,2,0,0,0,4,0,0.18,0.00,0.18,0.18,0.18,1.9,1.9,1.5,0.18,0.14,0.31,0.18,0.31,Matches
49,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,30,1988,9,8,585,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.01,0.04,0.05,0.01,0.05,Matches
50,Adam Bodzek\Adam-Bodzek,de GER,DFMF,Düsseldorf,33,1985,15,13,1200,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.04,0.01,0.06,0.04,0.06,Matches
51,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,FWMF,Mainz 05,25,1994,17,17,1472,3,5,0,0,1,0,0.18,0.31,0.49,0.18,0.49,1.9,1.9,2.4,0.12,0.15,0.27,0.12,0.27,Matches
52,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,23,1995,3,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
53,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,20,1999,16,16,1433,3,0,0,0,3,0,0.19,0.00,0.19,0.19,0.19,0.9,0.9,0.3,0.06,0.02,0.07,0.06,0.07,Matches
54,Brandon Borrello\Brandon-Borrello,au AUS,FW,Freiburg,24,1995,7,4,299,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.06,0.08,0.14,0.06,0.14,Matches
55,Nassim Boujellab\Nassim-Boujellab,de GER,FW,Schalke 04,20,1999,1,0,9,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
56,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,28,1990,14,14,1224,1,1,0,0,4,0,0.07,0.07,0.15,0.07,0.15,0.6,0.6,0.8,0.05,0.06,0.11,0.05,0.11,Matches
57,Julian Brandt\Julian-Brandt,de GER,MF,Dortmund,23,1996,17,10,1056,2,1,0,0,0,0,0.17,0.09,0.26,0.17,0.26,3.1,3.1,2.2,0.26,0.19,0.45,0.26,0.45,Matches
58,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,21,1998,15,7,699,2,3,0,0,0,0,0.26,0.39,0.64,0.26,0.64,1.6,1.6,2.8,0.20,0.36,0.57,0.20,0.57,Matches
59,John Brooks\John-Brooks,us USA,DF,Wolfsburg,26,1993,11,11,990,0,1,0,0,2,0,0.00,0.09,0.09,0.00,0.09,0.8,0.8,0.1,0.08,0.01,0.08,0.08,0.08,Matches
60,Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,31,1988,14,9,966,2,2,1,1,1,0,0.19,0.19,0.37,0.09,0.28,1.4,0.7,2.0,0.13,0.19,0.32,0.06,0.25,Matches
61,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,27,1991,9,9,810,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.0,0.14,0.00,0.14,0.14,0.14,Matches
62,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MF,Dortmund,20,1998,4,0,65,0,1,0,0,0,0,0.00,1.38,1.38,0.00,1.38,0.0,0.0,0.3,0.00,0.40,0.40,0.00,0.40,Matches
63,Marius Bülter\Marius-Bulter,de GER,MF,Union Berlin,26,1993,16,13,1097,3,0,0,0,0,0,0.25,0.00,0.25,0.25,0.25,1.3,1.3,1.7,0.11,0.14,0.25,0.11,0.25,Matches
64,Guido Burgstaller\Guido-Burgstaller,at AUT,MF,Schalke 04,30,1989,15,11,981,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,4.3,4.3,0.6,0.40,0.06,0.45,0.40,0.45,Matches
65,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,19,2000,5,1,93,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.56,0.00,0.56,0.56,0.56,Matches
66,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,28,1990,14,14,1241,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
67,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MF,Schalke 04,31,1988,17,15,1356,1,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,1.3,1.3,2.9,0.09,0.19,0.28,0.09,0.28,Matches
68,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,27,1992,9,9,810,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
69,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,29,1990,8,4,404,0,1,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.7,0.01,0.15,0.16,0.01,0.16,Matches
70,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MF,Freiburg,25,1994,9,1,159,1,0,0,0,0,0,0.57,0.00,0.57,0.57,0.57,0.7,0.7,0.3,0.41,0.18,0.59,0.41,0.59,Matches
71,Darko Churlinov\Darko-Churlinov,mk MKD,MF,Köln,19,2000,1,0,20,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.11,0.11,0.00,0.11,Matches
72,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,32,1987,13,11,889,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
73,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,24,1994,16,16,1440,1,2,0,1,5,0,0.06,0.12,0.19,0.06,0.19,1.6,0.8,0.9,0.10,0.05,0.15,0.05,0.11,Matches
74,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,23,1996,12,10,885,1,1,0,0,1,0,0.10,0.10,0.20,0.10,0.20,2.0,2.0,2.6,0.20,0.26,0.46,0.20,0.46,Matches
75,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,26,1993,14,8,815,4,0,0,0,3,0,0.44,0.00,0.44,0.44,0.44,3.6,3.6,0.9,0.40,0.10,0.49,0.40,0.49,Matches
76,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,21,1997,10,3,258,1,1,0,0,0,0,0.35,0.35,0.70,0.35,0.70,0.6,0.6,0.8,0.20,0.28,0.48,0.20,0.48,Matches
77,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,26,1993,11,10,928,1,3,0,0,0,0,0.10,0.29,0.39,0.10,0.39,0.9,0.9,2.4,0.09,0.23,0.32,0.09,0.32,Matches
78,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Bayern Munich,27,1992,15,11,981,6,5,1,1,0,0,0.55,0.46,1.01,0.46,0.92,6.6,5.9,2.9,0.61,0.27,0.88,0.54,0.81,Matches
79,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Bayern Munich,19,1999,2,0,30,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.14,0.00,0.14,0.14,0.14,Matches
80,Matheus Cunha\Matheus-Cunha,br BRA,,RB Leipzig,20,1999,10,2,273,0,1,0,0,0,0,0.00,0.33,0.33,0.00,0.33,2.1,2.1,0.3,0.69,0.09,0.78,0.69,0.78,Matches
