,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FW,Union Berlin,1.1,1,0,0,0,0,2,5,1,1,0,0,0,0,2,0.0,1,1,1,2,50.0,1,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,7.6,2,1,0,8,4,0,2,12,8,0,0,0,4,6,66.7,6,0,14,26,53.8,12,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,2.4,0,0,0,4,1,0,2,7,1,0,0,0,2,2,100.0,2,0,7,11,63.6,4,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,1.0,0,0,0,1,4,0,1,0,2,0,0,0,1,2,50.0,1,0,1,2,50.0,1,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,7.4,1,0,0,11,6,5,7,3,2,1,0,0,10,21,47.6,12,0,9,28,32.1,19,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,MF,Dortmund,15.2,1,0,0,9,17,0,0,12,20,0,0,1,3,4,75.0,4,0,25,35,71.4,10,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,7.7,2,0,0,4,9,1,2,6,7,0,1,0,3,4,75.0,3,0,18,28,64.3,10,Matches
8,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,11.9,0,0,0,6,3,0,18,12,11,0,0,0,2,4,50.0,2,0,15,20,75.0,5,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Bayer,7.5,3,0,0,13,11,8,2,1,1,0,0,0,10,13,76.9,10,0,4,8,50.0,4,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,5.9,0,0,0,2,3,7,2,2,1,0,0,0,4,7,57.1,5,1,2,9,22.2,7,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,10.9,5,0,0,19,9,0,5,20,26,0,0,0,32,36,88.9,32,0,26,41,63.4,15,Matches
12,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Bayer,11.8,1,0,0,16,21,2,71,7,9,0,0,0,15,27,55.6,16,1,11,20,55.0,9,Matches
13,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,RB Leipzig,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,1,1,100.0,0,Matches
14,Opoku Ampomah\Opoku-Ampomah,gh GHA,MF,Düsseldorf,3.3,1,0,0,12,3,1,10,5,2,0,0,0,14,28,50.0,17,0,9,16,56.3,7,Matches
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,15.5,1,0,0,33,29,7,19,6,3,0,0,0,19,24,79.2,19,2,10,18,55.6,8,Matches
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,16.0,7,0,0,41,25,0,21,35,31,2,0,0,15,20,75.0,17,1,52,75,69.3,23,Matches
17,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MF,Paderborn 07,11.7,1,0,0,8,20,1,26,9,6,0,0,0,26,46,56.5,28,1,17,28,60.7,11,Matches
18,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Bayer,14.2,1,0,0,8,25,0,6,17,16,0,0,0,8,15,53.3,9,1,30,58,51.7,28,Matches
19,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,15.8,4,0,0,28,42,0,81,21,14,0,0,0,14,20,70.0,14,0,32,68,47.1,36,Matches
20,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,5.7,0,0,0,7,4,0,30,13,8,0,0,0,4,5,80.0,5,0,17,22,77.3,5,Matches
21,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,1.7,0,0,0,2,0,3,2,0,0,0,1,0,1,3,33.3,2,0,0,2,0.0,2,Matches
22,Kaan Ayhan\Kaan-Ayhan,tr TUR,DFMF,Düsseldorf,15.9,6,0,0,17,9,2,7,21,28,0,1,0,6,7,85.7,6,0,28,38,73.7,10,Matches
23,Matthias Bader\Matthias-Bader,de GER,DF,Köln,0.1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,,0,0,1,1,100.0,0,Matches
24,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,11.7,2,0,0,16,25,0,2,17,32,0,0,0,8,9,88.9,8,0,25,51,49.0,26,Matches
25,Leon Bailey\Leon-Bailey,jm JAM,FW,Bayer,5.0,0,2,0,8,11,3,36,1,4,0,0,0,21,32,65.6,21,0,4,6,66.7,2,Matches
26,Lewis Baker\Lewis-Baker,eng ENG,MF,Düsseldorf,6.1,1,0,0,8,7,0,4,4,1,0,0,1,10,12,83.3,10,0,7,19,36.8,12,Matches
27,Ridle Baku\Ridle-Baku,de GER,MF,Mainz 05,11.1,2,1,0,18,14,0,23,15,14,0,0,0,14,26,53.8,17,1,25,39,64.1,14,Matches
28,Leonardo Balerdi\Leonardo-Balerdi,ar ARG,DF,Dortmund,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
29,Philipp Bargfrede\Philipp-Bargfrede,de GER,MF,Werder Bremen,4.0,1,0,0,8,3,0,2,7,14,0,0,0,4,4,100.0,4,1,12,22,54.5,10,Matches
30,Aymen Barkok\Aymen-Barkok,de GER,MF,Düsseldorf,0.9,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0.0,0,0,1,3,33.3,2,Matches
31,Leandro Barreiro Martins\Leandro-Barreiro-Martins,lu LUX,MF,Mainz 05,0.6,0,0,0,3,3,0,0,1,0,0,0,0,0,0,,0,0,1,4,25.0,3,Matches
32,Fin Bartels\Fin-Bartels,de GER,FWMF,Werder Bremen,0.4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
33,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,17.0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,,0,0,0,0,,0,Matches
34,Julian Baumgartlinger\Julian-Baumgartlinger,at AUT,DFMF,Bayer,10.5,2,0,0,7,12,0,1,15,12,0,0,0,6,6,100.0,6,0,21,43,48.8,22,Matches
35,Christoph Baumgartner\Christoph-Baumgartner,at AUT,MF,Hoffenheim,3.1,0,0,0,9,8,2,7,7,0,0,0,0,4,12,33.3,6,1,10,19,52.6,9,Matches
36,Ihlas Bebou\Ihlas-Bebou,tg TOG,FWMF,Hoffenheim,14.2,0,0,0,17,20,4,30,13,4,0,0,0,35,61,57.4,38,3,17,33,51.5,16,Matches
37,Sheraldo Becker\Sheraldo-Becker,nl NED,MF,Union Berlin,5.3,1,0,0,9,4,3,13,2,0,0,0,0,8,12,66.7,8,1,4,7,57.1,3,Matches
38,Timo Becker\Timo-Becker,de GER,DF,Schalke 04,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
39,Ishak Belfodil\Ishak-Belfodil,dz ALG,FW,Hoffenheim,3.0,0,0,0,4,1,5,0,1,0,0,0,0,10,14,71.4,10,0,1,1,100.0,0,Matches
40,Karim Bellarabi\Karim-Bellarabi,de GER,FWMF,Bayer,9.9,1,0,0,12,9,5,79,5,5,0,0,0,28,49,57.1,30,3,12,30,40.0,18,Matches
41,Lars Bender\Lars-Bender,de GER,MF,Bayer,9.7,1,0,0,8,5,1,16,18,13,0,0,0,6,10,60.0,7,1,26,38,68.4,12,Matches
42,Sven Bender\Sven-Bender,de GER,MF,Bayer,16.3,1,0,0,12,10,0,1,24,32,0,0,0,1,1,100.0,1,0,37,53,69.8,16,Matches
43,László Bénes\Laszlo-Benes,sk SVK,MF,M'gladbach,9.1,3,0,0,12,21,0,52,7,8,0,0,0,9,13,69.2,9,0,8,19,42.1,11,Matches
44,Ramy Bensebaini\Ramy-Bensebaini,dz ALG,DFMF,M'gladbach,7.1,3,1,1,12,13,0,5,5,25,0,1,0,11,15,73.3,11,2,13,17,76.5,4,Matches
45,Louis Beyer\Louis-Beyer,de GER,DF,M'gladbach,1.2,1,0,0,2,2,0,1,4,1,0,0,0,1,1,100.0,1,0,6,8,75.0,2,Matches
46,Ermin Bičakčić\Ermin-Bicakcic,ba BIH,DF,Hoffenheim,6.9,0,0,0,5,7,2,1,3,11,0,0,0,1,3,33.3,1,0,6,11,54.5,5,Matches
47,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Hoffenheim,0.0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
48,Leonardo Bittencourt\Leonardo-Bittencourt,de GER,MF,Werder Bremen,11.0,4,0,0,29,36,3,35,9,5,0,0,0,19,31,61.3,19,4,23,46,50.0,23,Matches
49,Jérôme Boateng\Jerome-Boateng,de GER,DF,Bayern Munich,6.5,4,1,0,8,3,0,3,7,13,0,1,0,0,0,,0,0,11,18,61.1,7,Matches
50,Adam Bodzek\Adam-Bodzek,de GER,DFMF,Düsseldorf,13.3,6,0,0,15,22,0,2,14,16,0,0,0,2,4,50.0,2,0,21,57,36.8,36,Matches
51,Jean-Paul Boëtius\Jean-Paul-Boetius,nl NED,FWMF,Mainz 05,16.4,1,0,0,29,33,0,5,34,19,0,0,0,28,42,66.7,30,0,50,81,61.7,31,Matches
52,Robin Bormuth\Robin-Bormuth,de GER,DF,Düsseldorf,2.0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,,0,0,2,3,66.7,1,Matches
53,Sebastiaan Bornauw\Sebastiaan-Bornauw,be BEL,DF,Köln,15.9,3,0,0,24,7,1,2,20,26,0,0,0,5,6,83.3,5,0,33,48,68.8,15,Matches
54,Brandon Borrello\Brandon-Borrello,au AUS,FW,Freiburg,3.3,0,0,0,3,9,1,4,4,1,0,0,0,6,15,40.0,8,0,9,14,64.3,5,Matches
55,Nassim Boujellab\Nassim-Boujellab,de GER,FW,Schalke 04,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,,0,Matches
56,Dedryck Boyata\Dedryck-Boyata,be BEL,DF,Hertha BSC,13.6,4,0,0,12,5,1,0,10,33,0,2,0,4,4,100.0,4,0,21,28,75.0,7,Matches
57,Julian Brandt\Julian-Brandt,de GER,MF,Dortmund,11.7,0,0,0,4,10,2,11,22,7,0,0,0,30,46,65.2,31,1,27,48,56.3,21,Matches
58,Josip Brekalo\Josip-Brekalo,hr CRO,FW,Wolfsburg,7.8,0,0,0,10,7,4,41,4,6,0,0,0,27,48,56.3,28,5,5,17,29.4,12,Matches
59,John Brooks\John-Brooks,us USA,DF,Wolfsburg,11.0,2,0,0,13,5,0,1,9,15,0,0,0,2,2,100.0,2,0,18,34,52.9,16,Matches
60,Daniel Brosinski\Daniel-Brosinski,de GER,DFMF,Mainz 05,10.7,1,0,0,8,5,0,77,8,10,0,1,1,9,13,69.2,11,0,20,35,57.1,15,Matches
61,Jeffrey Bruma\Jeffrey-Bruma,nl NED,DF,Wolfsburg,9.0,1,0,0,15,4,1,0,3,13,0,1,0,2,3,66.7,2,0,7,17,41.2,10,Matches
62,Jacob Bruun Larsen\Jacob-Bruun-Larsen,dk DEN,MF,Dortmund,0.7,0,0,0,1,2,0,0,0,0,0,0,0,1,3,33.3,1,0,0,0,,0,Matches
63,Marius Bülter\Marius-Bulter,de GER,MF,Union Berlin,12.2,0,0,0,18,9,4,28,9,5,0,0,0,32,48,66.7,35,2,17,28,60.7,11,Matches
64,Guido Burgstaller\Guido-Burgstaller,at AUT,MF,Schalke 04,10.9,1,0,0,18,14,14,9,5,2,0,0,0,14,25,56.0,16,2,8,20,40.0,12,Matches
65,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,1.0,0,0,0,1,2,0,1,3,0,0,0,0,0,2,0.0,0,0,5,6,83.3,1,Matches
66,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,1,0.0,1,Matches
67,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MF,Schalke 04,15.1,4,0,0,18,25,1,74,14,14,0,0,0,25,50,50.0,27,0,27,64,42.2,37,Matches
68,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
69,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,4.5,2,0,0,4,3,2,31,6,4,0,0,0,3,8,37.5,4,0,11,15,73.3,4,Matches
70,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MF,Freiburg,1.8,0,0,0,1,3,1,4,3,2,1,0,0,4,6,66.7,4,0,3,7,42.9,4,Matches
71,Darko Churlinov\Darko-Churlinov,mk MKD,MF,Köln,0.2,0,0,0,1,0,1,2,0,1,0,0,0,0,2,0.0,0,0,0,1,0.0,1,Matches
72,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,9.9,3,0,0,14,6,0,1,19,15,0,0,0,6,8,75.0,6,0,31,52,59.6,21,Matches
73,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,16.0,5,0,0,25,17,0,14,31,40,0,1,0,32,54,59.3,34,4,56,75,74.7,19,Matches
74,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,9.8,1,0,0,6,19,3,49,10,0,1,0,0,38,64,59.4,42,1,16,25,64.0,9,Matches
75,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,9.1,3,0,0,26,30,5,6,5,3,0,0,0,11,22,50.0,12,0,6,10,60.0,4,Matches
76,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,2.9,0,0,0,4,9,1,2,1,1,0,0,0,2,4,50.0,2,0,2,10,20.0,8,Matches
77,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,10.3,0,0,0,5,5,3,60,14,11,0,0,0,14,29,48.3,16,0,21,29,72.4,8,Matches
78,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Bayern Munich,10.9,0,0,0,4,18,0,22,15,4,1,0,0,30,46,65.2,34,5,17,23,73.9,6,Matches
79,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Bayern Munich,0.3,1,0,0,3,0,0,2,0,0,0,0,0,1,3,33.3,2,0,0,0,,0,Matches
80,Matheus Cunha\Matheus-Cunha,br BRA,,RB Leipzig,3.0,0,0,0,9,6,3,1,4,1,0,0,0,7,11,63.6,7,0,7,10,70.0,3,Matches
81,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,14.4,3,1,1,16,14,1,3,22,21,0,2,1,2,4,50.0,2,0,27,41,65.9,14,Matches
82,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,2.8,0,0,0,4,2,0,3,3,2,0,0,0,4,5,80.0,4,0,9,17,52.9,8,Matches
83,Leon Dajaku\Leon-Dajaku,de GER,FW,Bayern Munich,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
84,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,14.0,5,1,1,24,15,1,40,24,16,0,0,0,18,26,69.2,20,1,34,55,61.8,21,Matches
85,Alphonso Davies\Alphonso-Davies,ca CAN,FW,Bayern Munich,10.1,0,0,0,11,15,0,25,23,16,0,0,0,41,61,67.2,45,5,36,45,80.0,9,Matches
86,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,5.3,2,0,0,13,7,0,1,6,18,0,0,1,2,4,50.0,2,0,10,16,62.5,6,Matches
87,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Bayer,8.4,0,0,0,9,7,0,61,8,9,0,0,0,13,17,76.5,14,1,13,20,65.0,7,Matches
88,Diego Demme\Diego-Demme,de GER,DFMF,RB Leipzig,13.5,3,0,0,19,13,0,8,28,12,0,0,0,12,21,57.1,14,1,45,72,62.5,27,Matches
89,Moussa Diaby\Moussa-Diaby,fr FRA,MF,Bayer,6.3,0,0,0,8,10,1,21,2,3,0,0,0,30,44,68.2,32,3,3,8,37.5,5,Matches
90,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FW,Hertha BSC,9.1,2,0,0,4,11,3,23,4,9,0,0,0,31,44,70.5,34,3,13,25,52.0,12,Matches
91,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,8.5,0,0,0,6,8,7,1,2,1,0,0,0,2,5,40.0,3,0,3,3,100.0,0,Matches
92,Mohamed Dräger\Mohamed-Drager,tn TUN,MF,Paderborn 07,9.4,1,0,0,12,15,0,29,19,14,0,0,0,9,33,27.3,11,3,27,47,57.4,20,Matches
93,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DFMF,Bayer,6.0,4,1,1,12,3,0,0,11,5,0,1,0,1,1,100.0,1,0,15,20,75.0,5,Matches
94,Dominick Drexler\Dominick-Drexler,de GER,FW,Köln,10.6,4,0,0,21,22,6,21,11,13,0,1,0,15,28,53.6,15,0,17,30,56.7,13,Matches
95,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,5.0,2,0,0,12,11,0,7,3,5,0,0,0,13,22,59.1,14,0,5,17,29.4,12,Matches
96,Erik Durm\Erik-Durm,de GER,DFFW,Eint Frankfurt,4.7,0,0,0,3,2,0,15,7,4,0,0,0,5,5,100.0,5,0,13,20,65.0,7,Matches
97,Johannes Eggestein\Johannes-Eggestein,de GER,FW,Werder Bremen,4.8,3,1,1,5,6,1,11,3,3,0,0,0,0,4,0.0,1,1,5,13,38.5,8,Matches
98,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,15.7,2,0,0,19,15,0,16,16,11,0,0,0,11,17,64.7,11,0,28,45,62.2,17,Matches
99,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,12.4,5,1,0,32,17,1,37,26,19,0,2,0,22,33,66.7,24,2,47,57,82.5,10,Matches
100,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,14.7,2,0,0,11,15,1,1,19,38,0,0,0,5,5,100.0,5,0,33,42,78.6,9,Matches
101,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,10.0,2,0,0,27,24,8,2,9,4,1,0,0,22,49,44.9,25,1,13,21,61.9,8,Matches
102,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,0,0,1,2,50.0,1,Matches
103,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,1.0,0,0,0,0,1,0,0,1,5,0,0,0,1,1,100.0,1,0,1,2,50.0,1,Matches
104,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,10.4,1,0,0,4,5,0,0,11,18,0,0,0,2,3,66.7,2,0,18,22,81.8,4,Matches
105,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Mainz 05,13.1,6,1,1,15,3,0,12,23,28,0,0,0,11,20,55.0,11,0,34,51,66.7,17,Matches
106,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,7.5,5,1,1,25,2,0,2,19,19,0,0,0,3,4,75.0,3,0,33,48,68.8,15,Matches
107,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,5.7,1,0,0,9,13,0,5,17,6,1,0,0,6,11,54.5,9,1,18,31,58.1,13,Matches
108,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,6.1,1,0,0,10,5,2,0,2,3,0,0,0,3,8,37.5,4,1,3,5,60.0,2,Matches
109,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,9.0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,100.0,2,0,0,1,0.0,1,Matches
110,Emil Forsberg\Emil-Forsberg,se SWE,MF,RB Leipzig,7.8,0,0,0,9,14,1,19,7,5,0,0,0,17,18,94.4,17,1,12,21,57.1,9,Matches
111,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,3.8,1,0,0,6,4,1,6,11,6,0,1,0,3,7,42.9,4,0,22,29,75.9,7,Matches
112,Mike Frantz\Mike-Frantz,de GER,FWMF,Freiburg,2.7,2,0,0,6,5,0,5,2,0,0,0,0,0,0,,0,0,2,2,100.0,0,Matches
113,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,12.2,3,0,0,15,20,0,22,25,12,0,0,0,3,7,42.9,3,0,40,54,74.1,14,Matches
114,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,16.0,4,0,0,21,10,0,0,19,21,0,0,0,2,4,50.0,2,0,28,41,68.3,13,Matches
115,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,3.2,1,0,0,8,6,2,1,1,1,0,0,0,2,4,50.0,2,0,1,1,100.0,0,Matches
116,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,4.4,0,0,0,7,12,0,5,6,9,0,0,0,6,13,46.2,7,2,9,18,50.0,9,Matches
117,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DFMF,Werder Bremen,14.5,1,0,0,9,13,2,15,17,45,1,0,0,3,9,33.3,4,0,24,37,64.9,13,Matches
118,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,9.7,2,0,0,15,10,0,35,9,4,0,0,0,6,8,75.0,7,0,12,22,54.5,10,Matches
119,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,14.4,2,0,0,18,25,3,10,13,19,1,0,0,8,11,72.7,8,0,28,62,45.2,34,Matches
120,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,4.6,1,0,0,4,13,1,9,9,5,0,0,0,3,7,42.9,3,0,15,23,65.2,8,Matches
121,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,15.0,3,0,0,15,27,0,70,17,17,0,0,0,8,12,66.7,8,1,35,58,60.3,23,Matches
122,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,17.0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,,0,0,0,1,0.0,1,Matches
123,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
124,Matthias Ginter\Matthias-Ginter,de GER,DFMF,M'gladbach,13.9,0,0,0,5,10,0,3,6,14,0,0,0,4,4,100.0,4,0,13,22,59.1,9,Matches
125,Klaus Gjasula\Klaus-Gjasula,al ALB,MF,Paderborn 07,14.6,8,0,0,31,6,0,1,28,16,0,0,0,13,13,100.0,13,0,42,70,60.0,28,Matches
126,Serge Gnabry\Serge-Gnabry,de GER,FWMF,Bayern Munich,12.8,0,0,0,6,17,9,42,15,4,0,0,0,30,56,53.6,33,2,23,37,62.2,14,Matches
127,Akaki Gogia\Akaki-Gogia,de GER,FWMF,Union Berlin,1.3,0,0,0,2,3,0,2,1,1,0,0,0,6,9,66.7,6,0,2,5,40.0,3,Matches
128,Benjamin Goller\Benjamin-Goller,de GER,MF,Werder Bremen,3.0,0,0,0,4,5,0,3,6,1,0,0,0,11,22,50.0,13,2,9,16,56.3,7,Matches
129,Jérôme Gondorf\Jerome-Gondorf,de GER,MF,Freiburg,1.4,1,0,0,4,2,0,0,5,1,0,0,0,4,5,80.0,4,1,10,12,83.3,2,Matches
130,Leon Goretzka\Leon-Goretzka,de GER,MF,Bayern Munich,4.1,1,0,0,5,7,0,2,2,2,0,0,0,2,5,40.0,2,0,3,8,37.5,5,Matches
131,Mario Götze\Mario-Gotze,de GER,MF,Dortmund,5.4,0,0,0,5,11,4,7,8,2,0,0,0,4,11,36.4,4,0,13,17,76.5,4,Matches
132,Jeffrey Gouweleeuw\Jeffrey-Gouweleeuw,nl NED,DF,Augsburg,6.1,0,0,0,4,1,1,1,4,14,0,0,0,1,2,50.0,1,0,6,11,54.5,5,Matches
133,Michael Gregoritsch\Michael-Gregoritsch,at AUT,FW,Augsburg,3.4,0,0,0,3,3,1,1,3,3,0,0,0,2,4,50.0,2,0,4,11,36.4,7,Matches
134,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Hoffenheim,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0,,0,Matches
135,Vincenzo Grifo\Vincenzo-Grifo,it ITA,MF,Freiburg,5.2,1,1,0,5,5,2,34,3,4,0,0,0,9,16,56.3,9,0,5,14,35.7,9,Matches
136,Florian Grillitsch\Florian-Grillitsch,at AUT,MF,Hoffenheim,13.4,1,0,0,11,24,0,5,25,20,0,0,0,15,20,75.0,15,0,34,48,70.8,14,Matches
137,Christian Groß\Christian-Gross,de GER,MF,Werder Bremen,8.0,2,0,0,12,7,0,1,7,15,0,0,0,4,4,100.0,4,0,16,21,76.2,5,Matches
138,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,Augsburg,1.8,0,0,0,1,1,0,0,2,1,0,0,0,1,2,50.0,1,0,2,4,50.0,2,Matches
139,Marko Grujić\Marko-Grujic,rs SRB,MF,Hertha BSC,14.3,5,0,0,32,14,0,4,11,15,0,1,0,21,25,84.0,21,2,24,46,52.2,22,Matches
140,Raphaël Guerreiro\Raphael-Guerreiro,pt POR,DFMF,Dortmund,9.8,0,0,0,5,8,0,31,6,15,0,0,0,18,31,58.1,19,2,14,22,63.6,8,Matches
141,Babacar Guèye\Babacar-Gueye,sn SEN,FW,Paderborn 07,1.2,0,0,0,4,1,1,0,0,0,0,0,0,2,3,66.7,2,0,2,3,66.7,1,Matches
142,Josuha Guilavogui\Josuha-Guilavogui,fr FRA,MF,Wolfsburg,17.0,3,0,0,25,11,4,6,23,32,0,1,0,14,19,73.7,15,0,38,60,63.3,22,Matches
143,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,16.0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,100.0,1,0,0,0,,0,Matches
144,Manuel Gulde\Manuel-Gulde,de GER,DF,Freiburg,4.8,0,0,0,2,0,0,3,8,11,0,0,0,3,3,100.0,3,0,13,18,72.2,5,Matches
145,Christian Günter\Christian-Gunter,de GER,DF,Freiburg,17.0,1,0,0,7,11,1,140,11,8,0,0,0,12,23,52.2,13,1,18,39,46.2,21,Matches
146,Jonathan de Guzmán\Jonathan-de-Guzman,nl NED,MF,Eint Frankfurt,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,0,0,0,1,0.0,1,Matches
147,Janik Haberer\Janik-Haberer,de GER,FWMF,Freiburg,13.0,3,1,1,20,28,0,7,15,16,0,0,0,10,15,66.7,11,0,24,49,49.0,25,Matches
148,Alexander Hack\Alexander-Hack,de GER,DF,Mainz 05,5.2,1,0,0,4,8,0,0,9,16,0,0,0,3,5,60.0,3,0,17,23,73.9,6,Matches
149,André Hahn\Andre-Hahn,de GER,MF,Augsburg,4.9,4,1,1,17,3,5,10,5,7,0,0,0,5,8,62.5,6,1,13,27,48.1,14,Matches
150,Amadou Haidara\Amadou-Haidara,ml MLI,MF,RB Leipzig,4.5,0,0,0,10,2,1,4,11,5,0,1,0,6,10,60.0,6,0,15,25,60.0,10,Matches
151,Achraf Hakimi\Achraf-Hakimi,ma MAR,DF,Dortmund,15.0,3,0,0,15,26,1,55,13,18,0,0,0,41,71,57.7,44,4,25,52,48.1,27,Matches
