,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
288,Ivan Perišić\Ivan-Perisic,hr CRO,MF,Bayern Munich,7.8,1,0,0,13,5,6,43,6,3,0,0,0,10,17,58.8,10,0,11,28,39.3,17,Matches
289,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,8.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,0,0,0,1,0.0,1,Matches
290,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,15.3,1,0,0,7,12,4,5,7,7,0,0,0,4,12,33.3,5,1,14,26,53.8,12,Matches
291,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Mainz 05,2.7,1,0,0,3,3,0,3,1,6,0,0,0,5,5,100.0,5,0,3,6,50.0,3,Matches
292,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DFMF,Dortmund,8.6,1,0,0,8,3,0,21,13,11,0,0,0,6,13,46.2,8,1,18,23,78.3,5,Matches
293,Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,2.0,0,0,0,1,7,1,1,0,2,0,0,0,3,5,60.0,3,0,2,4,50.0,2,Matches
294,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,8.0,0,0,0,3,13,1,32,10,5,0,0,0,3,6,50.0,3,0,15,20,75.0,5,Matches
295,Alassane Pléa\Alassane-Plea,fr FRA,MF,M'gladbach,13.0,0,0,0,10,25,12,26,8,6,0,0,0,24,39,61.5,24,1,12,30,40.0,18,Matches
296,Thomas Pledl\Thomas-Pledl,de GER,MF,Düsseldorf,0.6,0,0,0,1,0,1,4,0,0,0,0,0,1,2,50.0,1,0,3,4,75.0,1,Matches
297,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Bayer,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
298,Sebastian Polter\Sebastian-Polter,de GER,FW,Union Berlin,2.9,1,1,0,6,8,6,1,1,1,1,0,0,3,3,100.0,3,0,3,4,75.0,1,Matches
299,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,12.1,6,0,0,20,11,0,8,23,19,0,1,0,4,7,57.1,5,0,47,66,71.2,19,Matches
300,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,9.2,2,0,0,24,21,0,6,7,1,1,0,0,11,21,52.4,11,0,8,20,40.0,12,Matches
301,Kai Pröger\Kai-Proger,de GER,,Paderborn 07,11.4,0,0,0,7,13,6,79,12,7,0,0,0,27,52,51.9,30,3,24,54,44.4,30,Matches
302,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,2.0,0,0,0,2,5,0,0,3,4,0,0,0,1,2,50.0,1,1,3,6,50.0,3,Matches
303,Robin Quaison\Robin-Quaison,se SWE,MF,Mainz 05,14.1,1,0,0,10,13,9,6,6,5,0,0,0,19,28,67.9,20,0,14,31,45.2,17,Matches
304,Raffael\Raffael,br BRA,FWMF,M'gladbach,0.5,0,0,0,1,3,0,3,0,0,0,0,0,3,3,100.0,3,0,0,1,0.0,1,Matches
305,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,8.6,1,0,0,11,5,10,6,2,4,0,0,0,10,22,45.5,11,1,5,15,33.3,10,Matches
306,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,12.3,2,0,0,15,21,5,59,7,2,0,0,0,38,54,70.4,40,1,12,23,52.2,11,Matches
307,Ante Rebić\Ante-Rebic,hr CRO,FWMF,Eint Frankfurt,1.0,1,0,0,5,1,1,0,0,1,0,0,0,1,2,50.0,1,0,0,0,,0,Matches
308,Daishawn Redan\Daishawn-Redan,nl NED,FW,Hertha BSC,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50.0,2,0,0,1,0.0,1,Matches
309,Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,1.0,0,0,0,0,1,1,1,1,0,0,0,0,3,6,50.0,3,1,1,2,50.0,1,Matches
310,Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,1.5,0,0,0,0,4,0,6,4,4,0,0,0,0,1,0.0,0,0,4,6,66.7,2,Matches
311,Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,11.0,0,0,0,8,7,0,0,11,16,0,2,1,4,7,57.1,4,1,16,21,76.2,5,Matches
