,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Ast,xA,A-xA,KP,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Left,Right,FK,TB,CK,TI,1/3,PPA,CrsPA,Matches
65,Jonathan Burkardt\Jonathan-Burkardt,de GER,FW,Mainz 05,1.0,0,0.0,0.0,0,17,22,77.3,2,3,66.7,11,12,91.7,4,7,57.1,3,15,1,0,0,2,0,0,0,Matches
66,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,13.8,0,0.0,0.0,0,386,487,79.3,4,4,100.0,232,233,99.6,150,250,60.0,98,312,27,0,0,0,2,0,0,Matches
67,Daniel Caligiuri\Daniel-Caligiuri,it ITA,MF,Schalke 04,15.1,1,2.9,-1.9,27,396,619,64.0,11,50,22.0,316,422,74.9,69,147,46.9,77,481,36,2,42,7,28,14,1,Matches
68,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,9.0,0,0.0,0.0,1,240,344,69.8,1,1,100.0,109,110,99.1,130,233,55.8,216,57,25,0,0,0,7,0,0,Matches
69,Timothy Chandler\Timothy-Chandler,us USA,DFMF,Eint Frankfurt,4.5,1,0.7,+0.3,8,121,187,64.7,1,9,11.1,85,118,72.0,35,60,58.3,25,102,1,0,0,38,10,6,3,Matches
70,Kwon Chang-hoon\Kwon-Chang-hoon,kr KOR,MF,Freiburg,1.8,0,0.3,-0.3,3,52,71,73.2,1,2,50.0,44,55,80.0,7,14,50.0,54,9,1,0,0,0,4,1,0,Matches
71,Darko Churlinov\Darko-Churlinov,mk MKD,MF,Köln,0.2,0,0.0,0.0,1,7,11,63.6,0,2,0.0,6,8,75.0,1,1,100.0,5,6,0,0,0,0,0,0,0,Matches
72,Per Ciljan Skjelbred\Per-Ciljan-Skjelbred,no NOR,MF,Hertha BSC,9.9,0,0.0,0.0,0,368,431,85.4,3,12,25.0,268,309,86.7,97,110,88.2,20,381,14,0,0,1,32,1,0,Matches
73,Jamilu Collins\Jamilu-Collins,ng NGA,DF,Paderborn 07,16.0,2,0.9,+1.1,10,739,969,76.3,5,47,10.6,598,693,86.3,136,229,59.4,651,96,5,1,0,178,70,6,3,Matches
74,Kingsley Coman\Kingsley-Coman,fr FRA,FWMF,Bayern Munich,9.8,1,2.6,-1.6,18,360,464,77.6,1,16,6.3,305,367,83.1,54,81,66.7,96,354,0,0,1,2,10,18,6,Matches
75,Jhon Córdoba\Jhon-Cordoba,co COL,FW,Köln,9.1,0,0.9,-0.9,7,137,174,78.7,4,9,44.4,114,140,81.4,19,25,76.0,22,121,0,0,0,0,4,3,0,Matches
76,Sergio Córdova\Sergio-Cordova,ve VEN,FW,Augsburg,2.9,1,0.8,+0.2,3,37,54,68.5,3,6,50.0,27,38,71.1,7,10,70.0,10,31,0,1,0,0,6,0,0,Matches
77,Danny da Costa\Danny-da-Costa,de GER,DF,Eint Frankfurt,10.3,3,2.4,+0.6,16,251,409,61.4,0,27,0.0,198,277,71.5,53,105,50.5,53,248,1,2,0,83,16,11,6,Matches
78,Philippe Coutinho\Philippe-Coutinho,br BRA,FWMF,Bayern Munich,10.9,5,2.9,+2.1,24,478,585,81.7,8,23,34.8,373,421,88.6,97,141,68.8,44,515,10,5,16,6,86,23,1,Matches
79,Mickaël Cuisance\Mickael-Cuisance,fr FRA,MF,Bayern Munich,0.3,0,0.0,0.0,0,18,24,75.0,0,1,0.0,13,15,86.7,5,8,62.5,21,3,0,0,3,0,2,1,0,Matches
80,Matheus Cunha\Matheus-Cunha,br BRA,,RB Leipzig,3.0,1,0.3,+0.7,3,74,96,77.1,2,7,28.6,62,76,81.6,10,13,76.9,12,73,0,0,0,1,6,5,2,Matches
81,Rafael Czichos\Rafael-Czichos,de GER,DF,Köln,14.4,0,0.4,-0.4,3,565,667,84.7,3,9,33.3,350,385,90.9,212,273,77.7,512,88,31,2,0,4,35,2,0,Matches
82,Mahmoud Dahoud\Mahmoud-Dahoud,de GER,MF,Dortmund,2.8,0,0.2,-0.2,5,228,252,90.5,1,5,20.0,184,193,95.3,43,54,79.6,25,217,4,0,0,0,21,6,0,Matches
83,Leon Dajaku\Leon-Dajaku,de GER,FW,Bayern Munich,0.0,0,0.0,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
84,Vladimír Darida\Vladimir-Darida,cz CZE,MF,Hertha BSC,14.0,3,2.3,+0.7,27,491,646,76.0,3,28,10.7,347,403,86.1,141,215,65.6,140,466,19,3,16,8,47,10,3,Matches
85,Alphonso Davies\Alphonso-Davies,ca CAN,FW,Bayern Munich,10.1,2,1.5,+0.5,13,648,744,87.1,11,30,36.7,540,592,91.2,97,122,79.5,534,89,12,1,0,95,44,14,7,Matches
86,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,5.3,0,0.0,0.0,1,259,307,84.4,3,6,50.0,203,227,89.4,53,74,71.6,244,38,7,0,0,1,18,0,0,Matches
87,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Bayer,8.4,2,1.7,+0.3,19,428,560,76.4,9,21,42.9,324,376,86.2,95,163,58.3,437,93,25,1,49,5,41,3,0,Matches
88,Diego Demme\Diego-Demme,de GER,DFMF,RB Leipzig,13.5,0,1.0,-1.0,12,933,1076,86.7,13,35,37.1,757,830,91.2,163,211,77.3,179,853,32,4,0,2,85,15,1,Matches
89,Moussa Diaby\Moussa-Diaby,fr FRA,MF,Bayer,6.3,0,0.9,-0.9,8,166,225,73.8,7,15,46.7,138,169,81.7,21,41,51.2,141,71,0,0,0,8,11,3,2,Matches
90,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FW,Hertha BSC,9.1,2,1.1,+0.9,8,174,250,69.6,3,15,20.0,140,175,80.0,31,60,51.7,179,40,3,0,4,6,17,6,2,Matches
91,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,8.5,0,0.4,-0.4,6,139,242,57.4,4,14,28.6,113,189,59.8,22,39,56.4,22,125,0,1,0,0,16,1,0,Matches
92,Mohamed Dräger\Mohamed-Drager,tn TUN,MF,Paderborn 07,9.4,3,0.6,+2.4,4,375,491,76.4,13,37,35.1,256,316,81.0,106,138,76.8,33,332,7,1,0,100,16,5,0,Matches
93,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DFMF,Bayer,6.0,0,0.0,0.0,0,450,498,90.4,3,7,42.9,294,318,92.5,153,173,88.4,75,393,9,0,0,9,36,0,0,Matches
94,Dominick Drexler\Dominick-Drexler,de GER,FW,Köln,10.6,1,1.8,-0.8,12,285,395,72.2,5,22,22.7,242,302,80.1,38,71,53.5,21,337,5,1,0,13,21,14,3,Matches
95,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,5.0,1,0.4,+0.6,6,152,192,79.2,4,13,30.8,121,134,90.3,27,45,60.0,19,160,11,2,3,2,18,4,0,Matches
96,Erik Durm\Erik-Durm,de GER,DFFW,Eint Frankfurt,4.7,0,0.1,-0.1,2,138,210,65.7,5,17,29.4,113,142,79.6,20,51,39.2,38,120,1,0,1,41,4,3,0,Matches
97,Johannes Eggestein\Johannes-Eggestein,de GER,FW,Werder Bremen,4.8,0,0.5,-0.5,6,120,166,72.3,2,14,14.3,109,127,85.8,9,25,36.0,40,112,1,0,2,2,2,3,0,Matches
98,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,15.7,2,1.2,+0.8,19,564,717,78.7,13,47,27.7,450,528,85.2,101,142,71.1,112,528,16,1,0,34,60,18,3,Matches
99,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,12.4,0,0.4,-0.4,9,405,546,74.2,4,20,20.0,299,357,83.8,102,169,60.4,33,382,7,0,0,104,25,6,0,Matches
100,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,14.7,0,0.0,0.0,0,785,848,92.6,5,10,50.0,521,564,92.4,259,274,94.5,236,531,36,0,0,1,24,0,0,Matches
101,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,10.0,2,2.7,-0.7,10,163,224,72.8,8,24,33.3,137,170,80.6,18,30,60.0,22,175,1,0,0,1,10,4,1,Matches
102,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,0.3,0,0.0,0.0,0,3,4,75.0,0,0,,3,3,100.0,0,1,0.0,1,2,0,0,0,0,2,0,0,Matches
103,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,1.0,0,0.0,0.0,1,46,57,80.7,1,2,50.0,23,25,92.0,22,30,73.3,49,6,4,0,0,0,5,0,0,Matches
104,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,10.4,0,0.4,-0.4,1,272,325,83.7,1,3,33.3,157,177,88.7,114,145,78.6,214,72,15,1,0,0,11,0,0,Matches
105,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Mainz 05,13.1,0,0.5,-0.5,5,461,548,84.1,7,12,58.3,325,368,88.3,129,168,76.8,48,467,10,0,1,0,44,3,1,Matches
106,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,7.5,0,0.0,0.0,1,185,226,81.9,3,8,37.5,146,172,84.9,36,46,78.3,27,180,1,0,0,0,10,1,1,Matches
107,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,5.7,1,0.2,+0.8,7,116,198,58.6,6,20,30.0,95,140,67.9,15,38,39.5,55,88,1,1,0,1,14,5,1,Matches
108,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,6.1,0,1.2,-1.2,9,83,141,58.9,7,16,43.8,68,103,66.0,8,22,36.4,24,85,0,0,0,3,4,4,0,Matches
109,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,9.0,0,0.0,0.0,0,261,384,68.0,0,1,0.0,114,115,99.1,147,268,54.9,78,252,20,0,0,0,8,0,0,Matches
110,Emil Forsberg\Emil-Forsberg,se SWE,MF,RB Leipzig,7.8,2,2.1,-0.1,19,263,334,78.7,11,26,42.3,209,240,87.1,43,68,63.2,39,277,5,3,15,2,24,6,1,Matches
111,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,3.8,0,0.0,0.0,0,97,152,63.8,2,10,20.0,77,105,73.3,18,37,48.6,5,99,2,0,0,45,12,1,1,Matches
112,Mike Frantz\Mike-Frantz,de GER,FWMF,Freiburg,2.7,1,0.6,+0.4,6,59,80,73.8,2,3,66.7,43,52,82.7,14,25,56.0,9,55,3,0,0,5,6,1,1,Matches
113,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,12.2,1,0.5,+0.5,7,457,573,79.8,3,19,15.8,344,384,89.6,110,170,64.7,350,120,18,2,0,87,29,10,4,Matches
114,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,16.0,0,0.0,0.0,0,442,571,77.4,2,9,22.2,264,294,89.8,176,268,65.7,71,443,24,1,0,1,49,2,0,Matches
115,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,3.2,1,0.9,+0.1,4,60,81,74.1,2,6,33.3,51,63,81.0,7,12,58.3,14,46,0,1,0,1,2,6,1,Matches
116,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,4.4,0,0.3,-0.3,4,102,141,72.3,2,12,16.7,78,97,80.4,22,32,68.8,32,92,0,1,0,8,11,1,0,Matches
117,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DFMF,Werder Bremen,14.5,0,0.5,-0.5,6,652,753,86.6,9,18,50.0,501,556,90.1,142,179,79.3,39,571,15,0,0,99,53,6,0,Matches
118,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,9.7,3,1.5,+1.5,20,382,455,84.0,7,16,43.8,281,312,90.1,94,127,74.0,35,396,20,1,28,4,29,7,0,Matches
119,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,14.4,1,1.1,-0.1,12,412,553,74.5,9,35,25.7,330,402,82.1,73,116,62.9,81,392,12,0,1,3,54,14,4,Matches
120,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,4.6,0,0.1,-0.1,3,138,181,76.2,4,8,50.0,109,134,81.3,25,39,64.1,128,32,2,0,2,4,15,1,0,Matches
121,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,15.0,1,1.4,-0.4,20,496,687,72.2,2,21,9.5,337,408,82.6,157,258,60.9,481,42,38,1,20,118,44,25,12,Matches
122,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,17.0,0,0.1,-0.1,1,498,728,68.4,1,1,100.0,151,154,98.1,346,573,60.4,85,532,79,0,0,0,41,0,0,Matches
123,Daniel Ginczek\Daniel-Ginczek,de GER,FW,Wolfsburg,0.2,0,0.0,0.0,0,3,8,37.5,1,1,100.0,2,6,33.3,0,1,0.0,0,6,0,0,0,0,0,0,0,Matches
