,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Ast,xA,A-xA,KP,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Left,Right,FK,TB,CK,TI,1/3,PPA,CrsPA,Matches
252,Juan Miranda\Juan-Miranda,es ESP,,Schalke 04,2.9,0,0.1,-0.1,2,96,122,78.7,2,2,100.0,71,85,83.5,23,35,65.7,91,3,3,0,0,20,6,5,1,Matches
253,Maximilian Mittelstädt\Maximilian-Mittelstadt,de GER,DF,Hertha BSC,10.2,1,0.5,+0.5,8,379,511,74.2,5,23,21.7,287,337,85.2,87,151,57.6,297,77,12,1,0,88,31,5,2,Matches
254,Anthony Modeste\Anthony-Modeste,fr FRA,FW,Köln,7.3,1,0.6,+0.4,2,69,125,55.2,2,7,28.6,52,86,60.5,15,32,46.9,11,72,0,1,0,0,5,3,0,Matches
255,Kevin Möhwald\Kevin-Mohwald,de GER,MF,Werder Bremen,0.8,0,0.0,0.0,0,35,41,85.4,2,3,66.7,25,27,92.6,8,11,72.7,4,35,1,0,0,0,4,0,0,Matches
256,Niklas Moisander\Niklas-Moisander,fi FIN,DF,Werder Bremen,6.0,0,0.0,0.0,0,409,449,91.1,1,3,33.3,236,248,95.2,172,198,86.9,284,148,11,0,0,0,33,1,0,Matches
257,Alfredo Morales\Alfredo-Morales,us USA,DFMF,Düsseldorf,10.4,2,0.6,+1.4,5,210,302,69.5,7,14,50.0,151,212,71.2,52,76,68.4,46,192,1,2,0,0,25,5,1,Matches
258,Jan Morávek\Jan-Moravek,cz CZE,FWMF,Augsburg,5.0,1,0.4,+0.6,4,145,184,78.8,7,10,70.0,108,125,86.4,30,49,61.2,25,140,2,0,1,1,10,2,0,Matches
259,Nordi Mukiele\Nordi-Mukiele,fr FRA,DF,RB Leipzig,8.3,1,0.6,+0.4,6,462,581,79.5,17,44,38.6,356,411,86.6,89,126,70.6,28,469,12,0,0,58,25,6,2,Matches
260,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,3.0,0,0.0,0.0,0,70,97,72.2,1,1,100.0,24,24,100.0,45,72,62.5,66,15,0,0,0,0,1,0,0,Matches
261,Thomas Müller\Thomas-Muller,de GER,FWMF,Bayern Munich,10.7,10,6.0,+4.0,35,430,550,78.2,10,29,34.5,339,403,84.1,81,118,68.6,73,423,2,3,3,19,36,16,5,Matches
262,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,1.0,0,0.0,0.0,0,36,45,80.0,0,0,,22,22,100.0,14,23,60.9,5,34,2,0,0,0,0,0,0,Matches
263,Obite N'Dicka\Obite-NDicka,fr FRA,,Eint Frankfurt,7.0,1,0.9,+0.1,3,308,367,83.9,5,10,50.0,244,274,89.1,59,83,71.1,256,61,8,0,0,34,30,1,0,Matches
264,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,4.2,0,0.0,0.0,0,188,210,89.5,3,4,75.0,126,133,94.7,59,73,80.8,163,24,5,0,0,0,9,0,0,Matches
265,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,17.0,0,0.0,0.0,0,671,742,90.4,0,1,0.0,394,397,99.2,277,344,80.5,123,495,35,0,0,0,3,0,0,Matches
266,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'gladbach,11.7,1,2.0,-1.0,16,382,493,77.5,9,16,56.3,278,339,82.0,95,138,68.8,91,380,19,2,17,1,35,17,1,Matches
267,Moussa Niakhate\Moussa-Niakhate,fr FRA,DFFW,Mainz 05,16.0,1,0.6,+0.4,6,595,716,83.1,4,14,28.6,370,410,90.2,221,292,75.7,587,91,20,0,0,9,33,1,0,Matches
268,Florian Niederlechner\Florian-Niederlechner,de GER,FW,Augsburg,16.2,6,4.6,+1.4,18,210,274,76.6,13,31,41.9,171,202,84.7,26,41,63.4,38,195,1,3,0,0,15,7,0,Matches
269,Christopher Nkunku\Christopher-Nkunku,fr FRA,MF,RB Leipzig,9.5,7,4.5,+2.5,32,294,369,79.7,3,11,27.3,240,266,90.2,51,92,55.4,28,316,10,6,41,4,21,14,0,Matches
270,Lukas Nmecha\Lukas-Nmecha,de GER,FW,Wolfsburg,1.4,0,0.1,-0.1,1,27,37,73.0,3,3,100.0,23,32,71.9,1,2,50.0,3,28,0,0,0,0,0,0,0,Matches
271,Håvard Nordtveit\Havard-Nordtveit,no NOR,DFMF,Hoffenheim,1.6,1,0.3,+0.7,1,94,110,85.5,1,1,100.0,54,58,93.1,39,51,76.5,11,91,3,0,0,0,9,0,0,Matches
272,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,14.7,0,0.0,0.0,0,400,579,69.1,1,2,50.0,159,161,98.8,240,416,57.7,118,369,35,0,0,0,8,1,0,Matches
273,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Düsseldorf,10.1,0,0.0,0.0,0,372,459,81.0,1,7,14.3,224,253,88.5,147,199,73.9,29,404,17,0,0,0,31,0,0,Matches
274,Bastian Oczipka\Bastian-Oczipka,de GER,DFMF,Schalke 04,17.0,3,1.7,+1.3,24,637,845,75.4,4,29,13.8,511,594,86.0,122,222,55.0,563,133,33,0,40,119,48,22,12,Matches
275,Cauly Oliveira Souza\Cauly-Oliveira-Souza,br BRA,MF,Paderborn 07,8.0,0,0.6,-0.6,10,175,250,70.0,7,11,63.6,140,166,84.3,28,73,38.4,21,212,16,0,36,5,19,5,0,Matches
276,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,8.5,4,1.7,+2.3,14,119,168,70.8,8,18,44.4,97,124,78.2,14,26,53.8,25,105,1,1,0,2,6,5,0,Matches
277,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,9.0,0,0.1,-0.1,3,484,544,89.0,6,12,50.0,356,380,93.7,122,152,80.3,113,383,27,0,0,0,37,0,0,Matches
278,Yuya Osako\Yuya-Osako,jp JPN,FW,Werder Bremen,10.5,1,1.4,-0.4,15,252,324,77.8,6,20,30.0,195,233,83.7,51,71,71.8,74,210,1,1,0,1,26,9,0,Matches
279,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,0.3,0,0.1,-0.1,1,2,4,50.0,0,1,0.0,2,2,100.0,0,1,0.0,4,0,0,0,0,0,0,0,0,Matches
280,Reece Oxford\Reece-Oxford,eng ENG,DF,Augsburg,3.5,0,0.0,0.0,0,48,73,65.8,0,2,0.0,26,37,70.3,22,34,64.7,5,56,2,0,0,0,4,0,0,Matches
281,Levin Öztunalı\Levin-Oztunali,de GER,MF,Mainz 05,10.7,2,1.9,+0.1,19,210,320,65.6,8,27,29.6,160,218,73.4,42,75,56.0,28,241,2,4,0,23,16,17,5,Matches
282,Gonçalo Paciência\Goncalo-Paciencia,pt POR,FW,Eint Frankfurt,12.1,1,1.7,-0.7,16,159,251,63.3,8,33,24.2,124,170,72.9,27,48,56.3,51,157,0,1,0,7,14,12,1,Matches
283,Michael Parensen\Michael-Parensen,de GER,DFMF,Union Berlin,4.6,0,0.5,-0.5,3,168,193,87.0,2,3,66.7,108,115,93.9,58,75,77.3,146,38,6,0,0,0,12,2,1,Matches
284,Paulinho\Paulinho,br BRA,FW,Bayer,0.9,0,0.0,0.0,0,36,44,81.8,1,1,100.0,33,37,89.2,2,6,33.3,5,37,0,0,0,1,1,1,0,Matches
285,Benjamin Pavard\Benjamin-Pavard,fr FRA,DF,Bayern Munich,16.0,2,1.9,+0.1,9,1187,1326,89.5,12,20,60.0,904,975,92.7,271,331,81.9,59,1124,31,0,0,93,96,9,1,Matches
286,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,17.0,0,0.1,-0.1,1,445,634,70.2,1,3,33.3,207,208,99.5,237,423,56.0,65,471,59,0,0,0,6,0,0,Matches
287,Mads Pedersen\Mads-Pedersen,dk DEN,DF,Augsburg,1.1,1,0.5,+0.5,2,25,33,75.8,0,0,,23,25,92.0,2,8,25.0,19,2,2,0,1,11,0,1,1,Matches
288,Ivan Perišić\Ivan-Perisic,hr CRO,MF,Bayern Munich,7.8,2,1.3,+0.7,13,275,387,71.1,8,25,32.0,222,279,79.6,45,83,54.2,124,220,3,1,8,17,14,15,6,Matches
289,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,8.0,0,0.0,0.0,0,180,267,67.4,1,2,50.0,76,76,100.0,103,189,54.5,17,193,14,0,0,0,3,0,0,Matches
290,Nils Petersen\Nils-Petersen,de GER,FW,Freiburg,15.3,1,1.3,-0.3,20,204,294,69.4,7,21,33.3,164,224,73.2,33,49,67.3,60,169,0,1,0,0,10,5,0,Matches
291,Ronaël Pierre-Gabriel\Ronael-Pierre-Gabriel,fr FRA,DF,Mainz 05,2.7,1,0.2,+0.8,2,76,105,72.4,0,5,0.0,61,80,76.3,15,20,75.0,5,78,2,0,0,18,9,1,1,Matches
292,Łukasz Piszczek\Lukasz-Piszczek,pl POL,DFMF,Dortmund,8.6,3,1.7,+1.3,8,621,743,83.6,5,13,38.5,532,592,89.9,84,138,60.9,49,582,10,1,0,78,39,6,0,Matches
293,Claudio Pizarro\Claudio-Pizarro,pe PER,FW,Werder Bremen,2.0,0,0.6,-0.6,4,46,67,68.7,2,9,22.2,40,50,80.0,4,8,50.0,14,41,1,0,0,1,5,6,0,Matches
294,Marvin Plattenhardt\Marvin-Plattenhardt,de GER,DF,Hertha BSC,8.0,1,1.3,-0.3,12,233,319,73.0,1,13,7.7,171,198,86.4,61,108,56.5,218,7,17,0,10,75,12,4,4,Matches
295,Alassane Pléa\Alassane-Plea,fr FRA,MF,M'gladbach,13.0,5,3.6,+1.4,20,247,361,68.4,8,34,23.5,200,261,76.6,39,66,59.1,51,276,0,5,6,2,17,17,6,Matches
296,Thomas Pledl\Thomas-Pledl,de GER,MF,Düsseldorf,0.6,0,0.1,-0.1,1,16,25,64.0,0,3,0.0,14,18,77.8,2,4,50.0,4,19,0,0,0,1,2,0,0,Matches
297,Joel Pohjanpalo\Joel-Pohjanpalo,fi FIN,FW,Bayer,0.0,0,0.0,0.0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,Matches
298,Sebastian Polter\Sebastian-Polter,de GER,FW,Union Berlin,2.9,1,1.0,0.0,5,42,61,68.9,5,7,71.4,31,47,66.0,6,7,85.7,15,26,0,0,0,1,3,2,0,Matches
299,Stefan Posch\Stefan-Posch,at AUT,DF,Hoffenheim,12.1,0,0.1,-0.1,2,545,694,78.5,5,24,20.8,421,473,89.0,119,197,60.4,65,511,17,0,0,63,31,5,0,Matches
300,Yussuf Poulsen\Yussuf-Poulsen,dk DEN,FW,RB Leipzig,9.2,4,1.1,+2.9,10,155,223,69.5,11,24,45.8,128,172,74.4,16,27,59.3,35,155,1,3,0,0,9,8,0,Matches
301,Kai Pröger\Kai-Proger,de GER,,Paderborn 07,11.4,4,2.3,+1.7,21,159,288,55.2,5,27,18.5,114,163,69.9,40,98,40.8,36,230,22,0,32,9,10,1,0,Matches
302,Grischa Prömel\Grischa-Promel,de GER,MF,Union Berlin,2.0,0,0.0,0.0,1,48,64,75.0,2,4,50.0,39,46,84.8,7,14,50.0,7,50,2,0,0,0,7,0,0,Matches
303,Robin Quaison\Robin-Quaison,se SWE,MF,Mainz 05,14.1,1,0.6,+0.4,11,195,269,72.5,6,17,35.3,162,199,81.4,27,53,50.9,17,222,0,0,0,3,12,6,0,Matches
304,Raffael\Raffael,br BRA,FWMF,M'gladbach,0.5,0,0.2,-0.2,3,29,37,78.4,1,3,33.3,23,25,92.0,5,9,55.6,3,32,1,0,3,0,2,2,0,Matches
305,Benito Raman\Benito-Raman,be BEL,FW,Schalke 04,8.6,2,1.2,+0.8,10,99,144,68.8,1,10,10.0,83,107,77.6,15,27,55.6,17,118,0,1,0,3,6,2,0,Matches
306,Milot Rashica\Milot-Rashica,xk KVX,FWMF,Werder Bremen,12.3,3,1.8,+1.2,26,212,324,65.4,3,19,15.8,159,208,76.4,50,97,51.5,59,237,9,0,23,4,8,11,5,Matches
307,Ante Rebić\Ante-Rebic,hr CRO,FWMF,Eint Frankfurt,1.0,0,0.1,-0.1,2,9,18,50.0,1,4,25.0,8,14,57.1,0,0,,2,15,0,0,0,0,0,0,0,Matches
308,Daishawn Redan\Daishawn-Redan,nl NED,FW,Hertha BSC,0.2,0,0.0,0.0,0,6,7,85.7,0,0,,6,6,100.0,0,1,0.0,2,5,0,0,0,0,1,0,0,Matches
309,Fabian Reese\Fabian-Reese,de GER,FW,Schalke 04,1.0,0,0.4,-0.4,2,9,19,47.4,0,2,0.0,8,16,50.0,1,1,100.0,2,13,0,0,0,1,0,1,0,Matches
310,Ken Reichel\Ken-Reichel,de GER,DF,Union Berlin,1.5,0,0.0,0.0,0,54,74,73.0,1,2,50.0,38,45,84.4,15,27,55.6,44,11,0,0,1,10,7,0,0,Matches
311,Karim Rekik\Karim-Rekik,nl NED,DF,Hertha BSC,11.0,0,0.0,0.0,1,470,527,89.2,8,11,72.7,321,336,95.5,141,180,78.3,413,86,20,0,0,2,35,1,1,Matches
312,Panagiotis Retsos\Panagiotis-Retsos,gr GRE,DF,Bayer,1.3,0,0.0,0.0,1,85,99,85.9,0,2,0.0,72,78,92.3,13,19,68.4,20,68,2,0,0,6,5,0,0,Matches
313,Marco Reus\Marco-Reus,de GER,FWMF,Dortmund,14.1,3,1.8,+1.2,18,462,561,82.4,15,32,46.9,380,433,87.8,67,96,69.8,114,427,21,8,0,1,38,17,1,Matches
314,Marco Richter\Marco-Richter,de GER,FW,Augsburg,10.5,2,1.5,+0.5,11,131,236,55.5,4,19,21.1,93,153,60.8,34,64,53.1,56,157,2,6,4,5,15,5,1,Matches
315,Marcel Risse\Marcel-Risse,de GER,FWMF,Köln,1.3,2,0.5,+1.5,6,33,66,50.0,0,6,0.0,21,28,75.0,12,32,37.5,3,58,2,0,6,5,2,2,0,Matches
316,Marlon Ritter\Marlon-Ritter,de GER,FW,Paderborn 07,0.6,0,0.0,0.0,1,20,35,57.1,0,0,,15,21,71.4,5,14,35.7,0,32,3,0,7,1,3,0,0,Matches
317,Sebastian Rode\Sebastian-Rode,de GER,MF,Eint Frankfurt,8.5,0,0.3,-0.3,6,351,432,81.3,12,24,50.0,248,285,87.0,91,123,74.0,78,307,4,0,3,3,35,5,0,Matches
318,Jérôme Roussillon\Jerome-Roussillon,fr FRA,DFMF,Wolfsburg,14.6,1,1.1,-0.1,12,431,601,71.7,7,29,24.1,347,419,82.8,77,153,50.3,377,63,6,0,0,133,24,11,5,Matches
319,Sebastian Rudy\Sebastian-Rudy,de GER,MF,Hoffenheim,16.0,3,1.6,+1.4,22,678,827,82.0,9,25,36.0,536,614,87.3,133,188,70.7,87,674,15,0,18,16,63,7,1,Matches
320,Lukas Rupp\Lukas-Rupp,de GER,MF,Hoffenheim,3.8,0,0.1,-0.1,1,135,155,87.1,3,6,50.0,121,134,90.3,11,15,73.3,23,125,0,0,0,1,17,2,0,Matches
321,Julian Ryerson\Julian-Ryerson,no NOR,DF,Union Berlin,0.3,0,0.0,0.0,0,5,8,62.5,0,0,,5,7,71.4,0,1,0.0,1,2,0,0,0,0,2,0,0,Matches
322,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,8.0,0,0.0,0.0,0,195,289,67.5,0,0,,94,95,98.9,101,194,52.1,21,216,16,0,0,0,9,0,0,Matches
323,João Victor Santos Sá\Joao-Victor-Santos-Sa,br BRA,FW,Wolfsburg,12.0,0,0.2,-0.2,8,195,270,72.2,8,21,38.1,160,208,76.9,27,41,65.9,42,183,1,1,2,3,13,2,1,Matches
324,Abdelhamid Sabiri\Abdelhamid-Sabiri,de GER,MF,Paderborn 07,5.4,0,0.2,-0.2,3,168,209,80.4,6,11,54.5,124,140,88.6,38,58,65.5,24,164,6,0,0,0,14,1,0,Matches
325,Marcel Sabitzer\Marcel-Sabitzer,at AUT,FWMF,RB Leipzig,14.7,4,3.0,+1.0,35,585,799,73.2,17,50,34.0,461,564,81.7,107,185,57.8,114,580,17,4,15,61,53,19,2,Matches
326,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,11.3,3,2.6,+0.4,27,504,657,76.7,9,24,37.5,359,401,89.5,136,232,58.6,502,118,60,1,46,0,54,6,0,Matches
327,Roland Sallai\Roland-Sallai,hu HUN,FW,Freiburg,4.5,0,0.2,-0.2,3,82,116,70.7,1,8,12.5,76,93,81.7,5,15,33.3,35,75,0,0,0,2,4,3,0,Matches
328,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,2.9,0,0.0,0.0,0,123,152,80.9,1,4,25.0,100,115,87.0,22,33,66.7,17,118,1,0,0,0,6,1,0,Matches
329,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,0.1,0,0.0,0.0,0,7,8,87.5,0,0,,7,7,100.0,0,1,0.0,0,8,0,0,0,0,0,0,0,Matches
330,Jadon Sancho\Jadon-Sancho,eng ENG,MF,Dortmund,13.1,9,3.8,+5.2,26,678,818,82.9,8,34,23.5,605,680,89.0,65,104,62.5,108,681,4,1,25,13,34,19,2,Matches
331,Salif Sané\Salif-Sane,sn SEN,DFMF,Schalke 04,7.5,1,0.3,+0.7,1,367,415,88.4,4,8,50.0,229,250,91.6,134,157,85.4,81,293,32,0,0,0,16,1,0,Matches
332,Marcelo Saracchi\Marcelo-Saracchi,uy URU,DF,RB Leipzig,2.0,0,0.3,-0.3,4,91,127,71.7,0,2,0.0,75,89,84.3,16,36,44.4,95,5,1,0,0,18,6,3,1,Matches
333,Josh Sargent\Josh-Sargent,us USA,FW,Werder Bremen,6.1,2,0.2,+1.8,3,102,133,76.7,4,15,26.7,87,103,84.5,11,15,73.3,20,97,0,0,0,2,5,1,0,Matches
334,Louis Schaub\Louis-Schaub,at AUT,MF,Köln,7.0,1,1.3,-0.3,11,220,281,78.3,8,21,38.1,185,213,86.9,27,47,57.4,216,40,4,1,18,10,17,2,0,Matches
335,Patrik Schick\Patrik-Schick,cz CZE,FW,RB Leipzig,4.0,1,0.7,+0.3,4,57,95,60.0,2,11,18.2,54,75,72.0,1,9,11.1,55,13,0,1,0,2,2,1,0,Matches
336,Julian Schieber\Julian-Schieber,de GER,FW,Augsburg,0.5,0,0.0,0.0,0,11,14,78.6,2,2,100.0,9,12,75.0,0,0,,11,2,0,0,0,0,1,1,0,Matches
337,Kingsley Schindler\Kingsley-Schindler,de GER,DF,Köln,8.9,2,0.6,+1.4,9,133,221,60.2,5,19,26.3,102,152,67.1,26,50,52.0,35,159,1,1,0,4,8,8,2,Matches
338,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,4.6,1,0.9,+0.1,6,113,155,72.9,6,13,46.2,87,108,80.6,20,34,58.8,93,50,0,1,0,0,15,7,1,Matches
339,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Union Berlin,7.6,0,0.0,0.0,0,244,303,80.5,1,4,25.0,128,145,88.3,115,154,74.7,193,77,10,0,0,1,16,2,1,Matches
340,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Freiburg,3.9,0,0.1,-0.1,2,139,175,79.4,0,5,0.0,96,106,90.6,43,64,67.2,135,24,11,0,0,2,8,0,0,Matches
341,Marcel Schmelzer\Marcel-Schmelzer,de GER,DF,Dortmund,0.0,0,0.0,0.0,0,1,3,33.3,0,1,0.0,1,2,50.0,0,0,,3,0,0,0,0,0,0,0,0,Matches
342,Jonathan Schmid\Jonathan-Schmid,fr FRA,MF,Freiburg,15.9,1,1.8,-0.8,17,574,788,72.8,8,31,25.8,451,538,83.8,115,219,52.5,86,472,16,1,14,185,32,8,2,Matches
343,Manuel Schmiedebach\Manuel-Schmiedebach,de GER,MF,Union Berlin,1.6,0,0.0,0.0,0,32,43,74.4,1,1,100.0,25,31,80.6,6,11,54.5,6,30,1,0,0,0,7,0,0,Matches
344,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,4.7,0,0.2,-0.2,3,207,297,69.7,1,11,9.1,138,171,80.7,68,115,59.1,36,186,6,0,0,52,34,6,2,Matches
345,Sebastian Schonlau\Sebastian-Schonlau,de GER,MF,Paderborn 07,11.0,0,0.0,0.0,0,705,775,91.0,5,10,50.0,450,475,94.7,250,290,86.2,135,598,25,0,0,1,15,0,0,Matches
346,Alessandro Schöpf\Alessandro-Schopf,at AUT,MF,Schalke 04,2.1,0,0.0,0.0,0,53,65,81.5,2,3,66.7,46,54,85.2,5,8,62.5,22,40,0,0,0,2,5,0,0,Matches
347,Markus Schubert\Markus-Schubert,de GER,GK,Schalke 04,2.2,0,0.0,0.0,0,64,104,61.5,0,0,,21,21,100.0,43,83,51.8,13,73,3,0,0,0,0,0,0,Matches
348,Nico Schulz\Nico-Schulz,de GER,DFMF,Dortmund,6.3,0,0.2,-0.2,3,371,433,85.7,3,14,21.4,325,360,90.3,43,59,72.9,299,83,6,0,0,41,21,4,1,Matches
349,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,7.2,0,0.0,0.0,0,185,288,64.2,0,0,,96,96,100.0,89,192,46.4,42,198,15,0,0,0,3,0,0,Matches
350,Davie Selke\Davie-Selke,de GER,FW,Hertha BSC,9.6,1,0.5,+0.5,5,128,214,59.8,10,18,55.6,109,175,62.3,9,21,42.9,10,107,0,0,0,1,6,4,0,Matches
351,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,12.9,0,0.9,-0.9,8,305,389,78.4,8,26,30.8,217,261,83.1,80,102,78.4,48,316,3,1,0,0,33,4,0,Matches
352,Khiry Shelton\Khiry-Shelton,us USA,FW,Paderborn 07,0.4,0,0.0,0.0,0,4,4,100.0,0,0,,4,4,100.0,0,0,,1,2,0,0,0,0,0,0,0,Matches
353,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,5.9,1,1.5,-0.5,12,133,177,75.1,6,15,40.0,110,135,81.5,17,27,63.0,24,128,1,1,0,2,5,5,1,Matches
354,Sarpreet Singh\Sarpreet-Singh,nz NZL,MF,Bayern Munich,0.1,0,0.0,0.0,0,4,5,80.0,0,1,0.0,4,4,100.0,0,0,,4,1,0,0,0,0,0,0,0,Matches
355,Daley Sinkgraven\Daley-Sinkgraven,nl NED,MF,Bayer,2.6,0,0.2,-0.2,3,208,234,88.9,2,4,50.0,163,175,93.1,43,55,78.2,180,24,4,2,0,19,12,1,0,Matches
356,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,13.7,2,0.4,+1.6,10,531,634,83.8,14,21,66.7,395,465,84.9,122,148,82.4,65,514,26,0,0,5,39,11,0,Matches
357,Robert Skov\Robert-Skov,dk DEN,FW,Hoffenheim,14.8,4,2.7,+1.3,26,603,788,76.5,8,21,38.1,496,567,87.5,99,200,49.5,593,56,20,2,31,102,32,18,9,Matches
358,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,0.7,0,0.0,0.0,0,21,33,63.6,0,0,,9,9,100.0,12,24,50.0,5,25,3,0,0,0,0,0,0,Matches
359,Lasse Sobiech\Lasse-Sobiech,de GER,DFMF,Köln,1.0,0,0.0,0.0,1,26,39,66.7,0,0,,18,26,69.2,8,13,61.5,4,17,3,0,0,0,1,0,0,Matches
360,Marcel Sobottka\Marcel-Sobottka,de GER,MF,Düsseldorf,3.1,0,0.0,0.0,1,79,99,79.8,1,2,50.0,56,69,81.2,22,28,78.6,14,76,1,0,0,0,6,0,0,Matches
361,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,17.0,0,0.0,0.0,0,625,768,81.4,0,0,,309,312,99.0,316,456,69.3,147,513,28,0,0,0,4,0,0,Matches
362,Djibril Sow\Djibril-Sow,ch SUI,MF,Eint Frankfurt,12.4,2,1.6,+0.4,22,481,580,82.9,13,30,43.3,343,385,89.1,125,165,75.8,96,436,14,0,13,4,59,12,5,Matches
363,Jerry St. Juste\Jerry-St-Juste,nl NED,DF,Mainz 05,12.7,1,0.0,+1.0,1,470,524,89.7,7,15,46.7,305,322,94.7,158,187,84.5,38,452,19,0,0,2,23,2,1,Matches
364,Kostas Stafylidis\Kostas-Stafylidis,gr GRE,DFMF,Hoffenheim,3.4,0,0.2,-0.2,2,109,135,80.7,0,2,0.0,87,97,89.7,22,36,61.1,74,18,2,0,0,33,7,4,3,Matches
365,Benjamin Stambouli\Benjamin-Stambouli,fr FRA,DFMF,Schalke 04,9.0,0,0.0,0.0,0,368,460,80.0,3,14,21.4,230,253,90.9,135,193,69.9,92,349,12,1,0,0,31,2,0,Matches
366,Niklas Stark\Niklas-Stark,de GER,DFMF,Hertha BSC,11.5,0,0.0,0.0,0,417,485,86.0,5,13,38.5,283,311,91.0,129,161,80.1,27,435,17,0,0,1,36,1,0,Matches
367,Renato Steffen\Renato-Steffen,ch SUI,MF,Wolfsburg,4.5,0,0.7,-0.7,6,158,210,75.2,3,10,30.0,131,161,81.4,24,39,61.5,153,16,1,0,0,26,9,9,4,Matches
368,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,17.0,0,0.2,-0.2,2,441,620,71.1,2,2,100.0,170,171,99.4,269,447,60.2,42,453,69,0,0,0,7,1,0,Matches
369,Lars Stindl\Lars-Stindl,de GER,MF,M'gladbach,3.5,2,0.8,+1.2,8,112,150,74.7,3,10,30.0,89,111,80.2,20,29,69.0,25,112,2,0,1,0,10,1,0,Matches
370,Tobias Strobl\Tobias-Strobl,de GER,DFMF,M'gladbach,1.4,0,0.0,0.0,1,80,89,89.9,0,2,0.0,55,59,93.2,25,28,89.3,6,78,1,1,0,0,4,0,0,Matches
371,Christian Strohdiek\Christian-Strohdiek,de GER,DF,Paderborn 07,5.0,0,0.2,-0.2,1,177,227,78.0,0,0,,96,109,88.1,81,118,68.6,28,181,15,1,0,0,14,1,0,Matches
372,Neven Subotić\Neven-Subotic,rs SRB,DF,Union Berlin,10.8,0,0.1,-0.1,4,302,406,74.4,3,12,25.0,167,206,81.1,132,188,70.2,85,269,12,0,0,1,30,1,0,Matches
373,Marek Suchý\Marek-Suchy,cz CZE,DF,Augsburg,1.5,0,0.0,0.0,0,39,44,88.6,0,2,0.0,31,32,96.9,8,10,80.0,8,33,1,0,0,0,0,0,0,Matches
374,Niklas Süle\Niklas-Sule,de GER,DF,Bayern Munich,7.1,1,0.4,+0.6,2,570,612,93.1,2,5,40.0,353,369,95.7,215,238,90.3,117,470,2,1,0,1,44,4,0,Matches
375,Markus Suttner\Markus-Suttner,at AUT,DFGK,Düsseldorf,3.8,1,0.2,+0.8,4,122,169,72.2,1,8,12.5,93,104,89.4,28,57,49.1,125,11,7,1,10,24,13,4,1,Matches
376,Ádám Szalai\Adam-Szalai,hu HUN,FW,Mainz 05,8.4,1,0.5,+0.5,9,135,204,66.2,9,17,52.9,116,168,69.0,10,19,52.6,26,116,0,1,0,1,7,0,0,Matches
377,Jonathan Tah\Jonathan-Tah,de GER,DF,Bayer,12.0,0,0.0,0.0,1,896,994,90.1,9,17,52.9,573,602,95.2,314,375,83.7,174,772,26,0,0,1,59,2,0,Matches
378,Georg Teigl\Georg-Teigl,at AUT,DFMF,Augsburg,1.1,0,0.0,0.0,0,19,24,79.2,0,2,0.0,16,16,100.0,3,6,50.0,3,15,2,0,0,4,0,0,0,Matches
379,Bernard Tekpetey\Bernard-Tekpetey,gh GHA,MF,Düsseldorf,4.3,0,0.1,-0.1,2,56,94,59.6,2,11,18.2,40,64,62.5,14,19,73.7,14,67,0,0,0,5,7,2,1,Matches
