Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
85,Alphonso Davies\Alphonso-Davies,ca CAN,FW,Bayern Munich,10.1,1,0,0,7,2,0,28.6,0.69,0.20,0.14,0.50,0.9,0.9,0.13,+0.1,+0.1,Matches
86,Thomas Delaney\Thomas-Delaney,dk DEN,MF,Dortmund,5.3,0,0,0,3,0,0,0.0,0.56,0.00,0.00,,0.5,0.5,0.17,-0.5,-0.5,Matches
87,Kerem Demirbay\Kerem-Demirbay,de GER,MF,Bayer,8.4,0,0,0,16,5,1,31.3,1.91,0.60,0.00,0.00,1.0,1.0,0.06,-1.0,-1.0,Matches
88,Diego Demme\Diego-Demme,de GER,DFMF,RB Leipzig,13.5,0,0,0,4,2,0,50.0,0.30,0.15,0.00,0.00,0.4,0.4,0.09,-0.4,-0.4,Matches
89,Moussa Diaby\Moussa-Diaby,fr FRA,MF,Bayer,6.3,1,0,0,18,11,0,61.1,2.87,1.76,0.06,0.09,2.1,2.1,0.11,-1.1,-1.1,Matches
90,Javairô Dilrosun\Javairo-Dilrosun,nl NED,FW,Hertha BSC,9.1,3,0,0,16,5,2,31.3,1.76,0.55,0.19,0.60,1.5,1.5,0.09,+1.5,+1.5,Matches
91,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,8.5,4,0,0,18,11,0,61.1,2.12,1.30,0.22,0.36,3.3,3.3,0.18,+0.7,+0.7,Matches
92,Mohamed Dräger\Mohamed-Drager,tn TUN,MF,Paderborn 07,9.4,0,0,0,8,1,0,12.5,0.86,0.11,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
93,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DFMF,Bayer,6.0,0,0,0,2,0,0,0.0,0.33,0.00,0.00,,0.5,0.5,0.25,-0.5,-0.5,Matches
94,Dominick Drexler\Dominick-Drexler,de GER,FW,Köln,10.6,2,0,0,14,7,0,50.0,1.32,0.66,0.14,0.29,1.9,1.9,0.13,+0.1,+0.1,Matches
95,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,5.0,0,0,0,7,5,2,71.4,1.40,1.00,0.00,0.00,0.5,0.5,0.08,-0.5,-0.5,Matches
96,Erik Durm\Erik-Durm,de GER,DFFW,Eint Frankfurt,4.7,0,0,0,12,3,0,25.0,2.54,0.64,0.00,0.00,0.6,0.6,0.05,-0.6,-0.6,Matches
97,Johannes Eggestein\Johannes-Eggestein,de GER,FW,Werder Bremen,4.8,1,0,0,11,5,0,45.5,2.28,1.04,0.09,0.20,0.8,0.8,0.07,+0.2,+0.2,Matches
98,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,15.7,0,0,0,27,7,0,25.9,1.72,0.44,0.00,0.00,1.4,1.4,0.05,-1.4,-1.4,Matches
99,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,12.4,0,0,0,8,3,0,37.5,0.65,0.24,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5,Matches
100,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,14.7,1,0,0,5,1,0,20.0,0.34,0.07,0.20,1.00,0.3,0.3,0.06,+0.7,+0.7,Matches
101,Breel Embolo\Breel-Embolo,ch SUI,FWMF,M'gladbach,10.0,6,0,1,24,12,0,50.0,2.39,1.19,0.25,0.50,4.2,3.5,0.15,+1.8,+2.5,Matches
102,Alexander Esswein\Alexander-Esswein,de GER,FWMF,Hertha BSC,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
103,Simon Falette\Simon-Falette,gn GUI,DF,Eint Frankfurt,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
104,Ohis Felix Uduokhai\Ohis-Felix-Uduokhai,de GER,DF,Augsburg,10.4,0,0,0,5,0,0,0.0,0.48,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
105,Edimilson Fernandes\Edimilson-Fernandes,ch SUI,MF,Mainz 05,13.1,0,0,0,18,1,0,5.6,1.37,0.08,0.00,0.00,0.5,0.5,0.03,-0.5,-0.5,Matches
106,Gelson Fernandes\Gelson-Fernandes,ch SUI,MF,Eint Frankfurt,7.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
107,Oliver Fink\Oliver-Fink,de GER,MF,Düsseldorf,5.7,0,0,0,8,0,0,0.0,1.41,0.00,0.00,,0.5,0.5,0.06,-0.5,-0.5,Matches
108,Alfreð Finnbogason\Alfred-Finnbogason,is ISL,FW,Augsburg,6.1,2,1,1,10,4,0,40.0,1.65,0.66,0.10,0.25,3.1,2.4,0.24,-1.1,-1.4,Matches
109,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,9.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
110,Emil Forsberg\Emil-Forsberg,se SWE,MF,RB Leipzig,7.8,4,2,2,13,5,1,38.5,1.67,0.64,0.15,0.40,2.6,1.1,0.08,+1.4,+0.9,Matches
111,Raphael Framberger\Raphael-Framberger,de GER,DF,Augsburg,3.8,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
112,Mike Frantz\Mike-Frantz,de GER,FWMF,Freiburg,2.7,0,0,0,3,0,0,0.0,1.12,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
113,Marco Friedl\Marco-Friedl,at AUT,DF,Werder Bremen,12.2,1,0,0,4,2,0,50.0,0.33,0.16,0.25,0.50,0.9,0.9,0.22,+0.1,+0.1,Matches
114,Marvin Friedrich\Marvin-Friedrich,de GER,DF,Union Berlin,16.0,0,0,0,15,1,0,6.7,0.94,0.06,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8,Matches
115,Niclas Füllkrug\Niclas-Fullkrug,de GER,FW,Werder Bremen,3.2,2,0,0,15,6,0,40.0,4.62,1.85,0.13,0.33,1.6,1.6,0.11,+0.4,+0.4,Matches
116,Mijat Gaćinović\Mijat-Gacinovic,rs SRB,MF,Eint Frankfurt,4.4,0,0,0,13,3,2,23.1,2.95,0.68,0.00,0.00,0.8,0.8,0.06,-0.8,-0.8,Matches
117,Theodor Gebre Selassie\Theodor-Gebre-Selassie,cz CZE,DFMF,Werder Bremen,14.5,1,0,0,4,2,0,50.0,0.28,0.14,0.25,0.50,0.6,0.6,0.14,+0.4,+0.4,Matches
118,Dennis Geiger\Dennis-Geiger,de GER,MF,Hoffenheim,9.7,0,0,0,10,1,1,10.0,1.04,0.10,0.00,0.00,1.0,1.0,0.10,-1.0,-1.0,Matches
119,Christian Gentner\Christian-Gentner,de GER,MF,Union Berlin,14.4,0,0,0,21,6,0,28.6,1.45,0.42,0.00,0.00,1.5,1.5,0.07,-1.5,-1.5,Matches
120,Yannick Gerhardt\Yannick-Gerhardt,de GER,MF,Wolfsburg,4.6,0,0,0,3,0,0,0.0,0.65,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
121,Niko Gießelmann\Niko-Giesselmann,de GER,DF,Düsseldorf,15.0,1,0,0,10,1,2,10.0,0.67,0.07,0.10,1.00,0.4,0.4,0.04,+0.6,+0.6,Matches
